iter, loss
1,1.0592969231946128
2,0.9677681687899998
3,0.9085625057561056
4,0.8801473043646131
5,0.8652511503015246
6,0.8564963735852923
7,0.8508495095797948
8,0.84693614925657
9,0.8440667646271842
10,0.8418704998493195
11,0.8401314331804003
12,0.8387171147550856
13,0.837541401897158
14,0.836546414068767
15,0.83569155727114
16,0.8349480739661626
17,0.8342941950048719
18,0.8337138695376259
19,0.8331946405342647
20,0.8327268145765577
21,0.8323027442182813
22,0.8319162993771689
23,0.8315623317446027
24,0.8312367357526507
25,0.8309359468732561
26,0.8306570589542389
27,0.8303976772512709
28,0.8301556444168091
29,0.8299292041574206
30,0.8297167648587908
31,0.8295171250615802
32,0.8293289821488516
33,0.8291513211386544
34,0.8289831740515573
35,0.8288237721579416
36,0.8286723348072597
37,0.8285282170772552
38,0.8283909462179456
39,0.8282598974023546
40,0.8281346450533186
41,0.8280148368222373
42,0.8279000699520112
43,0.8277899919237409
44,0.8276842481749398
45,0.8275825696332114
46,0.8274846962520055
47,0.8273904195853642
48,0.8272994768619537
49,0.8272116349424634
50,0.8271267700195313
51,0.8270446685382298
52,0.8269652775355748
53,0.8268883425848824
54,0.8268137323856354
55,0.8267413457802364
56,0.8266710766724178
57,0.8266027414798737
58,0.8265362429618835
59,0.8264715145315443
60,0.8264084253992353
61,0.826346925837653
62,0.8262869439806257
63,0.826228357723781
64,0.8261711764335632
65,0.8261152797085898
66,0.8260606362138476
67,0.8260071655682155
68,0.8259548124245235
69,0.8259035658836364
70,0.8258533023084913
71,0.8258040125029428
72,0.8257556658131736
73,0.8257082217080253
74,0.8256616098540169
75,0.8256158123697553
76,0.8255707957063403
77,0.825526499918529
78,0.8254829124041966
79,0.8254399650437492
80,0.8253976445538657
81,0.8253559187480382
82,0.8253147276810238
83,0.825274088042123
84,0.8252339604922704
85,0.8251943048409053
86,0.8251551273890904
87,0.8251163509913854
88,0.8250780023847307
89,0.8250400504044124
90,0.8250024793829237
91,0.8249652811459133
92,0.8249284555230821
93,0.8248919664110457
94,0.8248557693617684
95,0.8248198686327253
96,0.824784231867109
97,0.824748854637146
98,0.8247137240001133
99,0.8246788098130907
100,0.824644124848502
